"ringnr","O_HOM","E_HOM","N_SITES","F_hat"
"8730970",44445,43340,64801,0.0114636802094571
"8730969",43944,43360,64826,-0.0125663197905429
"8730972",50417,43010,64299,0.308103680209457
"8730973",44630,43300,64732,0.0223336802094571
"8730974",44354,43260,64689,0.0109436802094571
"8732220",44227,43160,64536,0.00997368020945709
"8730979",44041,43330,64788,-0.00686631979054291
"8730981",44223,43210,64599,0.00767368020945709
"8730987",44183,43370,64843,-0.00201631979054291
"8730993",44925,43360,64821,0.0332136802094571
"8732211",43609,43150,64507,-0.0182463197905429
"8732223",43738,43070,64353,-0.00858631979054291
"8732225",44616,43310,64760,0.0208636802094571
"8732227",44631,43260,64683,0.0240136802094571
"8732235",45228,43150,64519,0.0572336802094571
"8732237",44195,43330,64779,0.000583680209457094
"8732240",43762,43360,64825,-0.0211763197905429
"8732239",43979,43350,64820,-0.0108063197905429
"8732256",44330,43290,64725,0.00860368020945709
"8732247",44057,43380,64857,-0.00841631979054291
"8732249",44064,43360,64832,-0.00725631979054291
"8732255",43181,43350,64810,-0.0476453197905429
"8732258",44180,43370,64843,-0.00206631979054291
"8732261",45381,43320,64774,0.0559636802094571
"8732266",44421,43360,64824,0.00967368020945709
"8732273",44355,43360,64829,0.00643368020945709
"8732279",44244,43180,64556,0.00999368020945709
"8732286",42987,42610,63601,-0.0217663197905429
"8732298",43739,43280,64703,-0.0182563197905429
"8732288",44771,43310,64760,0.0280636802094571
"8732292",44261,43350,64807,0.00267368020945709
"8732293",44051,43350,64801,-0.00704631979054291
"8732294",44273,43280,64715,0.00631368020945709
"8732300",47565,43300,64740,0.159003680209457
"8732502",44464,43270,64698,0.0157836802094571
"8732503",44273,43190,64574,0.0107036802094571
"8732505",43917,43290,64719,-0.0106563197905429
"8732506",44112,43300,64743,-0.00212631979054291
"8732511",45820,43290,64732,0.0779036802094571
"8732525",43712,42800,64010,0.00331368020945709
"8732531",43794,43250,64665,-0.0144663197905429
"8732541",44000,42420,63299,0.0358636802094571
"8732570",43915,43300,64742,-0.0112763197905429
"8732552",42852,42660,63681,-0.0309053197905429
"8732565",44098,43370,64838,-0.00580631979054291
"8732576",44564,43350,64813,0.0166736802094571
"8732577",43175,43080,64403,-0.0353373197905429
"8732579",42355,42490,63553,-0.0461803197905429
"8732588",44363,43180,64557,0.0154536802094571
"8732591",44233,43270,64689,0.00521368020945709
"8732595",43831,43360,64834,-0.0181163197905429
"8732598",43926,43300,64743,-0.0108863197905429
"8732602",43711,43190,64576,-0.0153963197905429
"8732600",42580,42530,63457,-0.0373373197905429
"8732605",45751,43190,64568,0.0801036802094571
"8732610",44034,43360,64835,-0.00867631979054291
"8732615",44228,43350,64821,0.000883680209457088
"8732620",43962,43360,64832,-0.0119663197905429
"8732621",44049,43330,64780,-0.00628631979054291
"8732625",44101,43260,64676,-0.000486319790542908
"8732626",43935,43300,64746,-0.0104663197905429
"8732637",44002,42980,64234,0.00805368020945709
"8732641",44284,43310,64745,0.00572368020945709
"8732644",44896,42980,64266,0.0500236802094571
"8732646",43164,43110,64451,-0.0372533197905429
"8732647",44084,43350,64813,-0.00563631979054291
"8732648",44168,43370,64845,-0.00278631979054291
"8732649",44252,43340,64798,0.00254368020945709
"8732650",43991,43350,64823,-0.0102163197905429
"8732651",45052,43320,64760,0.0410836802094571
"8732653",44302,43310,64754,0.00631368020945709
"8732654",44174,43360,64830,-0.00196631979054291
"8732656",43762,43080,64383,-0.00777631979054291
"8732659",41130,41910,62526,-0.0777663197905429
"8732660",44191,43320,64773,0.000533680209457092
"8732666",46209,43240,64652,0.0987036802094571
"8732667",44289,43230,64627,0.00967368020945709
"8732670",45387,43290,64727,0.0578036802094571
"8732671",44319,43350,64804,0.00548368020945709
"8732672",43659,43260,64683,-0.0214663197905429
"8732674",43777,43210,64602,-0.0135663197905429
"8732676",44153,43390,64867,-0.00421631979054291
"8732678",44040,43250,64659,-0.00289631979054291
"8732680",43827,43380,64861,-0.0192063197905429
"8732681",44113,43370,64840,-0.00513631979054291
"8732685",44476,43360,64825,0.0122136802094571
"8732687",43612,43360,64823,-0.0280463197905429
"8732690",43655,43330,64777,-0.0245263197905429
"8732691",44009,43160,64499,-3.63197905429088e-05
"8732695",44036,43370,64844,-0.00892631979054291
"8732696",43828,43380,64852,-0.0188163197905429
"8732697",43080,42750,63796,-0.0240863197905429
"8732698",44221,43370,64842,-0.000246319790542911
"8732699",43971,43290,64726,-0.00818631979054291
"8732700",44768,43240,64648,0.0316136802094571
"8747010",44274,43250,64648,0.00817368020945709
"8747026",44273,43310,64761,0.00487368020945709
"8747038",44147,43280,64701,0.000743680209457094
"8747062",43332,43160,64528,-0.0317403197905429
"8747064",45818,43330,64781,0.0762036802094571
"8747088",43875,43300,64743,-0.0132063197905429
"8747100",43719,43180,64562,-0.0148663197905429
"8747101",44379,43310,64755,0.00981368020945709
"8747102",43817,43280,64703,-0.0146063197905429
"8747103",40609,41620,62041,-0.0895663197905429
"8747104",43880,43280,64700,-0.0117363197905429
"8747114",50787,43090,64415,0.321203680209457
"8747117",44036,43300,64740,-0.00563631979054291
"8747118",45692,43330,64784,0.0702036802094571
"8747120",41449,41520,62058,-0.0434313197905429
"8747121",46667,43150,64518,0.124503680209457
"8747135",43542,43050,64377,-0.0170363197905429
"8747144",43419,42640,63759,-0.00281631979054291
"8747145",44510,43230,64627,0.0201036802094571
"8747158",45368,43320,64764,0.0556936802094571
"8747161",44335,42880,64121,0.0285836802094571
"8747167",44137,43100,64431,0.00892368020945709
"8747182",43977,43120,64476,0.00025368020945709
"8747216",43703,42770,63931,0.00433368020945709
"8747218",44001,43300,64743,-0.00734631979054291
"8747222",43370,42930,64187,-0.0193663197905429
"8747225",44887,43310,64760,0.0335536802094571
"8747227",43896,43340,64802,-0.0140363197905429
"8747229",44504,43370,64835,0.0131336802094571
"8747234",43084,43180,64554,-0.0442643197905429
"8747239",43757,43320,64761,-0.0195663197905429
"8747256",44372,43240,64650,0.0130436802094571
"8747258",44154,43330,64789,-0.00161631979054291
"8747259",43928,43320,64763,-0.0113963197905429
"8747260",45383,43290,64726,0.0577536802094571
"8747263",43919,43300,64735,-0.0109463197905429
"8747223",44189,43240,64644,0.00440368020945709
"8747273",47497,43180,64571,0.162003680209457
"8747274",44873,43260,64686,0.0354936802094571
"8747224",44237,43310,64751,0.00341368020945709
"8747280",42908,42250,63175,-0.00850631979054291
"8747281",45093,43240,64654,0.0465136802094571
"8747286",44752,43080,64397,0.0386436802094571
"8747287",44493,43160,64531,0.0225836802094571
"8747288",44341,43320,64766,0.00778368020945709
"8747290",44356,43240,64655,0.0120336802094571
"8747293",44381,43320,64769,0.00954368020945709
"8747294",43617,43310,64757,-0.0257663197905429
"8747295",43752,43340,64795,-0.0205663197905429
"8747300",44214,43150,64518,0.00985368020945709
"8747308",44265,43300,64743,0.00507368020945709
"8747309",43593,43130,64478,-0.0181663197905429
"8747310",43785,43330,64784,-0.0187863197905429
"8747365",43777,43360,64836,-0.0206963197905429
"8747366",43789,43310,64750,-0.0176263197905429
"8747369",44213,42380,63243,0.0480836802094571
"8747373",43560,43050,64359,-0.0161563197905429
"8747374",44497,43330,64779,0.0147236802094571
"8747375",45098,43070,64398,0.0552136802094571
"8747399",44040,43340,64796,-0.00718631979054291
"8747406",45774,43310,64754,0.0749036802094571
"8747408",44839,43360,64835,0.0287836802094571
"8747410",44427,43330,64789,0.0111336802094571
"8747417",44280,43340,64796,0.00400368020945709
"8747424",43830,43310,64752,-0.0157463197905429
"8747487",42995,42650,63728,-0.0233963197905429
"8747492",44093,43130,64490,0.00502368020945709
"8747497",44082,43330,64785,-0.00497631979054291
"8747498",41748,41790,62476,-0.0418213197905429
"8747504",43954,43290,64721,-0.00882631979054291
"8747515",45025,43160,64529,0.0475536802094571
"8747517",45094,43340,64804,0.0416636802094571
"8747518",44464,43350,64813,0.0120136802094571
"8747519",44760,43350,64812,0.0257436802094571
"8747520",43996,43220,64611,-0.00376631979054291
"8747526",43531,43340,64795,-0.0310133197905429
"8747529",43289,43200,64590,-0.0356653197905429
"8747532",44076,43290,64727,-0.00325631979054291
"8747534",43820,43360,64824,-0.0183163197905429
"8747544",43320,43340,64795,-0.0406512197905429
"8747548",44406,43220,64607,0.0155536802094571
"8747549",42951,43320,64763,-0.0570063197905429
"8747551",42583,43360,64837,-0.0762163197905429
"8747552",42216,42460,63467,-0.0517363197905429
"8747553",43182,42990,64258,-0.0307443197905429
"8747554",43618,43090,64417,-0.0150863197905429
