"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8L89497",0.0103942293286834,4,31.125,43382,43310,64749,-0.0365032670424751,"60"
"8L89502",-0.713986993502448,2,30.75,44207,43340,64801,0.000394732957524908,"27"
"8L89503",2.32937551139084,4,34.325,44264,43340,64787,0.00343473295752491,"27"
"8L89507",0.947251098823073,3,33.3,44211,43300,64730,0.00277473295752491,"27"
"8L89508",0.415433552887503,3,32.6666666666667,43861,43360,64831,-0.0166852670424751,"27"
"8L89509",0.160903446846495,1,32.3,43720,43360,64823,-0.0230052670424751,"27"
"8L89512",0.0357566333660036,1,31.4,44579,43370,64831,0.0166547329575249,"27"
"8L89514",2.10491613553069,1,36.2,44024,43360,64832,-0.00909526704247509,"27"
"8L89516",-0.414960988400043,4,31.15,45388,43340,64803,0.0553947329575249,"27"
"8L89517",0.350924141611514,3,32,45160,43260,64674,0.0488147329575249,"27"
"8L89518",-1.95109651260911,3,29.1,44553,43330,64785,0.0170547329575249,"27"
"8L89519",-1.12034006973603,1,29.6,44302,43360,64825,0.00406473295752491,"27"
"8L89521",1.02998280728218,3,32.8,44399,43280,64711,0.0121547329575249,"27"
"8L89525",0.549903383302943,4,32.55,42327,41910,62697,-0.0198452670424751,"26"
"8L89526",-0.00482701783965332,1,31.5,43006,42640,63776,-0.0226452670424751,"26"
"8L89537",-1.02020761571049,2,30.1,44299,43310,64742,0.00634473295752491,"27"
"8L89538",0.135280134939013,1,31.9,41873,41960,62670,-0.0442572670424751,"27"
"8L89547",-2.34639149963184,5,28.42,44974,43340,64794,0.0364147329575249,"61"
"8L89548",0.0409361941605503,4,31.4,43706,43300,64745,-0.0211052670424751,"61"
"8L89550",-0.601607123144516,3,30.4333333333333,43192,43320,64774,-0.0460022670424751,"61"
"8L89552",-0.797059637297181,5,30.24,43529,43350,64819,-0.0316892670424751,"61"
"8L89553",-0.117225597124007,1,31,44571,43330,64777,0.0181647329575249,"61"
"8L89562",0.935572817633035,3,32.3333333333333,44807,43280,64718,0.0311747329575249,"61"
"8L89613",0.723740799992254,4,32.675,43774,43260,64680,-0.0159852670424751,"26"
"8L89614",-2.07932169903774,2,28.25,41667,41890,62664,-0.0507352670424751,"26"
"8L89615",-1.30080032768627,4,30.275,43990,43200,64590,-0.00290526704247509,"26"
"8L89622",0.0789093429436899,4,32,43981,43220,64619,-0.00409526704247509,"26"
"8L89626",-0.807371978521646,2,30.1,44390,43240,64650,0.0139447329575249,"26"
"8L89634",-0.0219412960915351,6,31.65,43854,43090,64399,-0.00412526704247509,"27"
"8L89637",0.590416701034066,6,32.5833333333333,43451,42970,64221,-0.0172052670424751,"27"
