Running from this directory: /cluster/work/simennes/Project_thesis/Project_thesis
Name of job: ind_ens_no
ID of job: 23157421
The job was run on these nodes: idun-06-06
[I 2025-10-27 23:51:41,676] Trial 43 finished with value: 0.0798599693452801 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.18334075659316879, 'batch_norm': True, 'lr': 0.0003751695136717095, 'weight_decay': 1.5785483225903118e-05, 'epochs': 180, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:43,028] Trial 44 finished with value: 0.08274275883016609 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.16065429010093185, 'batch_norm': True, 'lr': 0.0006729868724162308, 'weight_decay': 0.0009133951788975326, 'epochs': 145, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:44,673] Trial 45 finished with value: 0.08652240589149368 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.25190852979446493, 'batch_norm': True, 'lr': 0.0008987908775601065, 'weight_decay': 4.7137945378185265e-06, 'epochs': 208, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:46,134] Trial 46 finished with value: 0.034458815683954355 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.11638336846242259, 'batch_norm': True, 'lr': 1.1666114183757787e-05, 'weight_decay': 0.0001480306595496459, 'epochs': 166, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:47,545] Trial 47 finished with value: 0.06699901267170967 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128, 64]', 'dropout': 0.4786808389181124, 'batch_norm': True, 'lr': 0.00022504093150249545, 'weight_decay': 0.0003840482085983004, 'epochs': 201, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:48,848] Trial 48 finished with value: 0.0867130441172019 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.209248940555553, 'batch_norm': True, 'lr': 0.0004527028473499935, 'weight_decay': 3.551522462571157e-05, 'epochs': 129, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:50,002] Trial 49 finished with value: 0.08989414840557045 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.12816089595325725, 'batch_norm': True, 'lr': 8.252579450367852e-05, 'weight_decay': 0.0006529008843132772, 'epochs': 94, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:51,192] Trial 50 finished with value: 0.08031829797218448 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.3417867524128722, 'batch_norm': True, 'lr': 0.00034764603005249496, 'weight_decay': 8.769634632840642e-06, 'epochs': 249, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:53,218] Trial 51 finished with value: 0.09124106203170197 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 128]', 'dropout': 0.1521169743262628, 'batch_norm': True, 'lr': 0.0006892007208088776, 'weight_decay': 1.84899301073385e-07, 'epochs': 296, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:54,392] Trial 52 finished with value: 0.09407655041326492 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.17369250852371332, 'batch_norm': True, 'lr': 0.0007397712428582237, 'weight_decay': 1.638833547466041e-06, 'epochs': 188, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
